ID,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,BIAS_MOTIVATION_GROUP,BAIS_TARGETED_AGAINST,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,latitude,longitude,source
1,80-10-000286,1/2/2010 14:34,1/2/2010 0:00,VANDALISM,ANTI-BLACK                                   ,OTHER PROPERTY                                         ,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,7TH DIVISION,711,RESIDENCE / HOME,9400 BLOCK PLUMWOOD RD                                      ,LOUISVILLE,40291,38.164925,-85.585393,MapQuest Open
2,80-10-002572,1/12/2010 12:28,1/12/2010 12:28,ASSAULT,ANTI-BLACK                                   ,OTHER PERSON                                           ,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,6TH DIVISION,612,COMMERCIAL / OFFICE BUILDING,6200 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219,38.161393,-85.700132,MapQuest Open
3,80-10-004971,1/21/2010 11:39,1/20/2010 22:00,VANDALISM,ANTI-FEMALE HOMOSEXUAL (LESBIAN)             ,OTHER PROPERTY OWNED BY TARGET GROUP                   ,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,8TH DIVISION,824,RESIDENCE / HOME,400 BLOCK BERMUDA WAY                                       ,MIDDLETOWN,40243,38.249305,-85.524878,MapQuest Open
4,80-10-009987,2/11/2010 10:20,2/10/2010 18:00,ASSAULT,ANTI-MENTAL DISABILITY                       ,,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME,2800 BLOCK SLEVIN ST                                        ,LOUISVILLE,40212,38.265985,-85.79579,MapQuest Open
5,80-10-010468,2/12/2010 16:55,2/12/2010 16:55,OTHER,ANTI-JEWISH                                  ,BUSINESS                                               ,HARASSING COMMUNICATIONS,90Z,PART II,COMPLETED,8TH DIVISION,812,DEPARTMENT / DISCOUNT STORE,2200 BLOCK HOLIDAY MANOR CTR                                ,NORTHFIELD,40222,38.283891,-85.632307,MapQuest Open
6,80-10-016189,3/7/2010 16:40,3/7/2010 16:04,ASSAULT,ANTI-BLACK                                   ,PUBLIC PROPERTY                                        ,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,3RD DIVISION,315,PARKING LOT / GARAGE,10300 BLOCK RANCHO DR                                       ,LOUISVILLE,40272,38.107131,-85.87465,MapQuest Open
7,80-10-022931,3/31/2010 20:52,3/31/2010 20:00,ASSAULT,ANTI-MULTI-RACIAL GROUP                      ,,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,3RD DIVISION,331,PARKING LOT / GARAGE,2500 BLOCK PENNACOOK RD                                     ,LOUISVILLE,40214,38.155571,-85.804494,MapQuest Open
8,80-10-033923,5/8/2010 12:21,5/8/2010 10:30,ASSAULT,ANTI-WHITE                                   ,OTHER PERSON                                           ,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME,1200 BLOCK FRUITFUL CT                                      ,LOUISVILLE,40214,38.128203,-85.786311,MapQuest Open
9,80-10-038960,5/25/2010 0:57,5/24/2010 20:25,ASSAULT,ANTI-BLACK                                   ,OTHER PERSON                                           ,ASSAULT - 2ND DEGREE,13A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME,1600 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40210,38.241496,-85.780327,MapQuest Open
10,80-10-041409,6/3/2010 7:04,6/3/2010 2:00,OTHER,ANTI-BLACK                                   ,RESIDENCE                                              ,HARASSING COMMUNICATIONS,90Z,PART II,COMPLETED,8TH DIVISION,824,RESIDENCE / HOME,700 BLOCK CREEKVALLEY RD                                    ,LOUISVILLE,40243,,,
